CustomerID,Tenure_x,MonthlySpend_x,ContractType,SubscriptionPlan,LoginFrequency_x,SupportTickets_x,ChurnRisk,ChurnStatus,Tenure_y,MonthlySpend_y,LoginFrequency_y,SupportTickets_y,ContractType_Two-Year,ContractType_Yearly,SubscriptionPlan_Enterprise,SubscriptionPlan_Premium,Actual_Churn,Predicted_Churn,Churn_Probability
CUST_0,9,52.676711730779815,Monthly,Enterprise,9,1,-0.034383558653899,0,11,6.190094986991171,2,1,True,False,False,False,0,1,0.8235158911666872
CUST_1,8,29.845677302035444,Yearly,Basic,6,1,0.0787716134898228,0,16,7.230363910427896,3,1,False,False,False,False,0,1,0.833797454714941
CUST_2,16,82.26451618999566,Yearly,Enterprise,11,1,-0.1753225809499782,0,10,38.11522918821177,7,1,False,True,False,False,0,0,0.4115328801064122
CUST_3,10,61.501892559889896,Yearly,Enterprise,14,1,-0.0775094627994494,0,14,54.27685806670913,12,1,False,False,True,False,0,0,0.0071344494190184
CUST_4,10,13.30746068870366,Monthly,Basic,3,1,0.1634626965564817,0,8,55.48755442968027,14,1,True,False,True,False,0,0,0.0056919423815141
CUST_5,10,99.61807295990144,Yearly,Premium,16,1,-0.2680903647995071,0,7,77.78143438792739,11,1,False,True,True,False,0,0,0.0015678397806881
CUST_6,11,9.993718634170436,Yearly,Basic,6,1,0.1810314068291478,1,9,54.250824473198975,12,1,False,True,True,False,0,0,0.0091125864155646
CUST_7,14,15.407598814863071,Two-Year,Basic,8,1,0.1569620059256846,0,9,182.3462627787176,22,1,True,False,False,True,0,0,1.1367029657535411e-05
CUST_8,11,37.2339815597418,Two-Year,Basic,11,1,0.044830092201291,0,16,11.253189409355164,7,1,False,False,False,False,0,1,0.7970411136462933
CUST_9,9,48.54947312326557,Two-Year,Enterprise,9,1,-0.0137473656163278,0,11,34.452063852712044,8,1,False,False,False,False,0,0,0.3935108687995114
CUST_10,12,132.35210824220684,Monthly,Premium,21,1,-0.4297605412110342,0,14,34.425401820990544,13,1,False,True,False,False,0,1,0.5213336408224252
CUST_11,8,156.79299919504402,Yearly,Premium,19,1,-0.55596499597522,0,16,51.489407415779766,11,1,False,False,True,False,0,0,0.0090836481854363
CUST_12,16,19.335860673846085,Monthly,Basic,6,1,0.1393206966307695,0,10,50.2650755562078,10,1,False,False,True,False,0,0,0.0083658075311321
CUST_13,6,56.065405164313766,Monthly,Enterprise,19,1,-0.0543270258215687,0,10,27.03935371346015,3,1,False,False,False,False,0,1,0.5048388411036512
CUST_14,15,23.21610950124476,Monthly,Basic,11,1,0.1189194524937762,0,10,9.368547407666536,8,1,False,True,False,False,0,1,0.8499200075059687
CUST_15,15,18.866692951279585,Monthly,Basic,7,1,0.1406665352436021,0,12,14.438962459088724,3,1,True,False,False,False,0,1,0.7274477175952238
CUST_16,16,30.02030762865637,Yearly,Basic,9,1,0.0858984618567181,0,13,35.25378643038971,3,1,False,True,False,False,0,0,0.4708471586339033
CUST_17,14,69.7948701804058,Two-Year,Enterprise,8,1,-0.1149743509020289,0,14,129.7536908087134,15,1,False,True,False,True,0,0,0.0007875859409454
CUST_18,7,57.45875992682069,Monthly,Enterprise,17,1,-0.0602937996341034,0,16,51.32318488859504,15,1,True,False,True,False,0,0,0.0095969183933474
CUST_19,10,79.2923595773032,Yearly,Enterprise,17,1,-0.166461797886516,0,16,9.436125585790156,5,1,False,True,False,False,0,1,0.8646566933248065
CUST_20,7,70.7467312154371,Yearly,Enterprise,15,1,-0.1267336560771854,0,18,90.45547837773744,16,1,False,False,True,False,0,0,0.0006105447630647
CUST_21,13,133.32972360925896,Monthly,Premium,20,1,-0.4336486180462948,0,11,67.86420653146202,6,1,False,False,True,False,0,0,0.0023100731189526
CUST_22,11,22.69348809773672,Yearly,Basic,6,1,0.1175325595113164,0,17,50.92212292481385,4,1,False,False,True,False,0,0,0.0089662450205266
CUST_23,17,34.70384834752856,Monthly,Basic,9,1,0.0634807582623571,0,14,72.35764610937717,15,1,False,True,True,False,0,0,0.0029263717695402
CUST_24,17,7.398871802411006,Yearly,Basic,4,1,0.200005640987945,0,11,12.890034675465923,6,1,False,True,False,False,0,1,0.814986847076715
CUST_25,10,58.64243291279644,Two-Year,Enterprise,10,1,-0.0632121645639821,0,15,16.93810130510546,11,1,False,True,False,False,0,1,0.7948339328404769
CUST_26,10,46.80304865581128,Monthly,Enterprise,5,1,-0.0040152432790563,0,19,121.1807193933546,14,1,True,False,False,True,0,0,0.001129831773621
CUST_27,10,48.56169511433502,Yearly,Enterprise,10,1,-0.0128084755716751,0,15,20.08352265812726,4,1,False,True,False,False,0,1,0.7399792397896048
CUST_28,11,18.3149783830634,Yearly,Basic,10,1,0.139425108084683,1,17,49.80682599264574,9,1,False,False,True,False,0,0,0.0102840229364567
CUST_29,14,12.08734358534127,Monthly,Basic,6,1,0.1735632820732936,0,11,126.8975910937503,13,1,False,False,False,True,0,0,0.0005985086313857
CUST_30,7,14.806115532458502,Two-Year,Basic,9,1,0.1529694223377075,0,12,93.92444004857342,14,1,True,False,True,False,0,0,0.000394502371964
CUST_31,7,35.203451323928945,Monthly,Basic,10,1,0.0509827433803552,0,16,33.58085140016866,7,1,False,True,False,False,0,1,0.5325920768473182
CUST_32,11,83.65579849527052,Monthly,Enterprise,14,1,-0.1872789924763525,0,11,75.3393722940776,16,1,False,True,True,False,0,0,0.002203932334632
CUST_33,25,42.44191369165016,Monthly,Basic,11,1,0.0327904315417491,0,9,30.85965139398596,5,1,True,False,False,False,0,0,0.4345281901256239
CUST_34,16,25.51229341939189,Yearly,Basic,6,1,0.1084385329030405,0,11,54.11635694591226,9,1,False,True,True,False,0,0,0.0093729992719774
CUST_35,9,39.3436831832075,Two-Year,Basic,15,1,0.0322815840839624,0,14,27.049178834167343,9,1,False,True,False,False,0,1,0.6394349083094724
CUST_36,15,76.71207966221333,Two-Year,Enterprise,14,1,-0.1485603983110666,0,10,44.37976311232601,8,1,False,False,False,False,0,0,0.2354824476228231
CUST_37,15,9.627629093156145,Two-Year,Basic,4,1,0.1868618545342193,0,9,41.56829548384592,7,1,False,True,False,False,0,0,0.3465654852528058
CUST_38,11,106.56024987664254,Yearly,Premium,14,1,-0.3018012493832127,0,14,36.59756777038419,9,1,False,False,False,False,0,0,0.3784273935952067
CUST_39,13,53.75461112629447,Yearly,Enterprise,7,1,-0.0357730556314723,0,13,42.24590691359389,7,1,False,False,False,False,0,0,0.2779377068079315
CUST_40,9,44.07304864249355,Two-Year,Basic,10,1,0.0086347567875322,0,9,26.544910822967417,7,1,False,True,False,False,0,1,0.6113268329122253
CUST_41,10,6.426494919327652,Yearly,Basic,0,1,0.1978675254033617,1,7,164.45792132019164,18,1,False,True,False,True,0,0,5.495190812786165e-05
CUST_42,9,185.0316166477373,Two-Year,Premium,25,1,-0.6961580832386867,0,8,132.10404667175618,13,1,True,False,False,True,0,0,0.0003780937487576
CUST_43,8,30.599817049331644,Two-Year,Basic,6,1,0.0750009147533418,0,11,10.200929160376832,8,1,True,False,False,False,1,1,0.7890886795772758
CUST_44,8,42.45952894742882,Monthly,Basic,8,1,0.0157023552628559,0,15,19.00805815530303,9,1,False,False,False,False,0,1,0.6906577143991878
CUST_45,12,46.696266256868896,Monthly,Enterprise,11,1,-0.0014813312843444,0,13,12.020677749707549,5,1,True,False,False,False,0,1,0.7696750005465707
CUST_46,18,76.21033953380886,Yearly,Enterprise,16,1,-0.1430516976690443,0,16,43.53532545529454,13,1,True,False,False,False,0,0,0.2887603173478916
CUST_47,8,114.68287864298922,Monthly,Premium,17,1,-0.3454143932149461,0,9,45.44871398828459,8,1,False,False,False,False,0,0,0.2172717060328299
CUST_48,10,39.91015330838445,Yearly,Basic,13,1,0.0304492334580777,0,9,42.2373812828701,8,1,False,False,False,False,0,0,0.259365104095753
CUST_49,11,109.53068591824284,Yearly,Premium,11,1,-0.3166534295912142,0,13,87.83734945023491,11,1,False,False,True,False,0,0,0.0006094979450779
CUST_50,11,22.81556918923677,Two-Year,Basic,10,1,0.1169221540538161,0,14,49.773400947115874,10,1,False,False,True,False,0,0,0.0096328141540916
CUST_51,9,81.41976083928299,Monthly,Enterprise,12,1,-0.1780988041964148,0,14,83.95595922634224,11,1,True,False,True,False,0,0,0.0008265023271212
CUST_52,9,33.44130762953131,Monthly,Basic,14,1,0.0617934618523434,0,25,67.54408783625891,11,1,False,False,True,False,0,0,0.0036342547493379
CUST_53,7,7.124644157038956,Yearly,Basic,6,1,0.1913767792148052,0,9,67.15462360137919,19,1,False,True,True,False,0,0,0.0039042312417816
CUST_54,15,72.50769193958739,Monthly,Enterprise,8,1,-0.1275384596979369,0,8,114.16022053852932,18,1,False,False,False,True,0,0,0.0014698734316997
CUST_55,7,2.756848899970773,Monthly,Basic,12,1,0.2132157555001461,0,11,85.12505394253674,12,1,False,False,True,False,0,0,0.0007112179935595
CUST_56,12,43.11880605483716,Yearly,Basic,8,1,0.0164059697258142,0,8,106.33444773079202,22,1,False,True,False,True,0,0,0.0039487135149055
CUST_57,12,18.57652589050054,Two-Year,Basic,4,1,0.1391173705474973,0,13,58.74481221842284,12,1,False,True,True,False,0,0,0.0073374726300154
CUST_58,13,58.74481221842284,Yearly,Enterprise,12,1,-0.0607240610921141,0,13,91.82813837044776,9,1,False,False,True,False,0,0,0.0004462731752828
CUST_59,12,98.4181134679374,Yearly,Premium,22,1,-0.2600905673396869,0,9,37.36029023074871,8,1,False,True,False,False,0,0,0.4211299832210153
